Product ID,Batch,Qty,D1,D2,D3
2947,B#-KHI-AUG21-02-06082021-01,25,NO,NO,NO
2947,B#-KHI-AUG21-02-06082021-01-dj,165,NO,NO,NO
3800,B#-KHI-AUG21-01-06082021,114,NO,NO,NO
3800,B#-KHI-AUG21-01-06082021-djj,18,NO,NO,NO
953,B#-KHI-AUG21-01-06082021-dj,144,NO,NO,NO
2962,B#-KHI-JULY21-04-31072021-01,77,NO,NO,NO
3453,B#-KHI-JULY21-04-31072021-01,62,NO,NO,NO
3454,B#-KHI-JULY21-04-31072021-01,146,NO,NO,NO
3008,B#-KHI-JULY21-04-31072021-01,28,NO,NO,NO
3288,B#-KHI-AUG21-01-06082021-dj,14,NO,NO,NO
3288,B#-KHI-JULY21-03-27072021,10,NO,NO,NO
3288,B#-KHI-JULY21-04-31072021-01,45,NO,NO,NO
3291,B#-KHI-JULY21-04-31072021-01-djj,13,NO,NO,NO
3291,B#-KHI-JULY21-04-31072021-01,57,NO,NO,NO
3455,B#-KHI-JULY21-03-27072021-dj,24,NO,NO,NO
3455,B#-KHI-JULY21-03-27072021-djj,10,NO,NO,NO
3455,B#-KHI-JULY21-03-27072021,31,NO,NO,NO
3455,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
2949,B#-ADJ-16082021,1,NO,NO,NO
2949,B#-ADJ-23082021,20,NO,NO,NO
2949,B#-KHI-JULY21-04-31072021-01,2,NO,NO,NO
2950,B#-ADJ-23082021,29,NO,NO,NO
2950,B#-KHI-JULY21-04-31072021-01,2,NO,NO,NO
2894,B#-KHI-JULY21-03-27072021,70,NO,NO,NO
2894,B#-KHI-JULY21-04-31072021-01,72,NO,NO,NO
945,B#-KHI-JULY21-04-31072021-01-djj,2,NO,NO,NO
945,B#-KHI-JULY21-04-31072021-01,112,NO,NO,NO
944,B#-KHI-AUG21-02-06082021-01,137,NO,NO,NO
944,B#-KHI-AUG21-02-06082021-01-djj,87,NO,NO,NO
3886,B#-KHI-AUG21-02-06082021-01,45,NO,NO,NO
3886,B#-KHI-AUG21-02-06082021-01-djj,6,NO,NO,NO
1468,B#-KHI-AUG21-02-06082021-01,96,NO,NO,NO
1468,B#-KHI-AUG21-04-09082021,23,NO,NO,NO
2557,B#-KHI-JULY21-03-27072021,21,NO,NO,NO
2557,B#-KHI-JULY21-04-31072021-01,24,NO,NO,NO
3721,B#-KHI-JULY21-04-31072021-01-djj,25,NO,NO,NO
3721,B#-KHI-JULY21-04-31072021-01,92,NO,NO,NO
2555,B#-KHI-AUG21-02-06082021-01,93,NO,NO,NO
2555,B#-KHI-AUG21-02-06082021-01-djj,4,NO,NO,NO
3744,B#-KHI-JULY21-01-06052021,21,NO,NO,NO
3744,B#-KHI-JULY21-01-06052021-djj,1,NO,NO,NO
3744,B#-KHI-JULY21-04-31072021-01,72,NO,NO,NO
3758,B#-KHI-AUG21-02-06082021-01,95,NO,NO,NO
3758,B#-KHI-AUG21-02-06082021-01-djj,24,NO,NO,NO
3724,B#-KHI-JULY21-01-06052021,23,NO,NO,NO
3724,B#-KHI-JULY21-04-31072021-01,72,NO,NO,NO
3725,B#-KHI-JULY21-04-31072021-01-djj,25,NO,NO,NO
3725,B#-KHI-JULY21-04-31072021-01,94,NO,NO,NO
3722,B#-KHI-JULY21-04-31072021-01-djj,23,NO,NO,NO
3722,B#-KHI-JULY21-04-31072021-01,88,NO,NO,NO
3723,B#-KHI-JULY21-04-31072021-01djj,25,NO,NO,NO
3723,B#-KHI-JULY21-04-31072021-01,94,NO,NO,NO
1472,B#-KHI-JULY21-04-31072021-01-djj,49,NO,NO,NO
1472,B#-KHI-JULY21-04-31072021-01,95,NO,NO,NO
3745,B#-KHI-JULY21-04-31072021-01-djj,78,NO,NO,NO
3745,B#-KHI-JULY21-03-27072021,48,NO,NO,NO
3745,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
1473,B#-KHI-JULY21-04-31072021-01,96,NO,NO,NO
1474,B#-KHI-JULY21-04-31072021-01-djj,48,NO,NO,NO
1474,B#-KHI-JULY21-04-31072021-01,96,NO,NO,NO
954,B#-KHI-JULY21-04-31072021-01-djj,97,NO,NO,NO
954,B#-KHI-JULY21-04-31072021-01,154,NO,NO,NO
960,B#-MARCH-21-3-01122020,53,NO,NO,NO
2961,B#-KHI-JULY21-03-27072021-djj,30,NO,NO,NO
2961,B#-KHI-JULY21-03-27072021,46,NO,NO,NO
915,B#-KHI-AUG21-02-06082021-01,8,NO,NO,NO
1926,B#-KHI-JULY21-03-27072021-dj,9,NO,NO,NO
1926,B#-KHI-JULY21-03-27072021,3,NO,NO,NO
